value,name,mnemonic,friendlyName,immediete,controlflow,pop,push,comment
170,i32_trunc_sf64,i32.trunc_s/f64,trunc_i32_f64,,,"[""Float64""]","[""Int32""]",
171,i32_trunc_uf64,i32.trunc_u/f64,trunc_i32_f64_u,,,"[""Float64""]","[""Int32""]",
172,i64_extend_si32,i64.extend_s/i32,extend_i64_i32,,,"[""Int32""]","[""Int64""]",
173,i64_extend_ui32,i64.extend_u/i32,extend_i64_i32_u,,,"[""Int32""]","[""Int64""]",
174,i64_trunc_sf32,i64.trunc_s/f32,trunc_i64_f32,,,"[""Float32""]","[""Int64""]",
175,i64_trunc_uf32,i64.trunc_u/f32,trunc_i64_f32_u,,,"[""Float32""]","[""Int64""]",
176,i64_trunc_sf64,i64.trunc_s/f64,trunc_i64_f64,,,"[""Float64""]","[""Int64""]",
177,i64_trunc_uf64,i64.trunc_u/f64,trunc_i64_f64_u,,,"[""Float64""]","[""Int64""]",
178,f32_convert_si32,f32.convert_s/i32,convert_f32_i32,,,"[""Int32""]","[""Float32""]",
179,f32_convert_ui32,f32.convert_u/i32,convert_f32_i32_u,,,"[""Int32""]","[""Float32""]",
180,f32_convert_si64,f32.convert_s/i64,convert_f32_i64,,,"[""Int64""]","[""Float32""]",
181,f32_convert_ui64,f32.convert_u/i64,convert_f32_i64_u,,,"[""Int64""]","[""Float32""]",
182,f32_demotef64,f32.demote/f64,demote_f64_f32,,,"[""Float64""]","[""Float32""]",
183,f64_convert_si32,f64.convert_s/i32,convert_f64_i32,,,"[""Int32""]","[""Float64""]",
184,f64_convert_ui32,f64.convert_u/i32,convert_f64_i32_u,,,"[""Int32""]","[""Float64""]",
185,f64_convert_si64,f64.convert_s/i64,convert_f64_i64,,,"[""Int64""]","[""Float64""]",
186,f64_convert_ui64,f64.convert_u/i64,convert_f64_i64_u,,,"[""Int64""]","[""Float64""]",
187,f64_promotef32,f64.promote/f32,promote_f32_f64,,,"[""Float32""]","[""Float64""]",
188,i32_reinterpretf32,i32.reinterpret/f32,reinterpret_f32_i32,,,"[""Float32""]","[""Int32""]",
189,i64_reinterpretf64,i64.reinterpret/f64,reinterpret_f64_i64,,,"[""Float64""]","[""Int64""]",
190,f32_reinterpreti32,f32.reinterpret/i32,reinterpret_i32_f32,,,"[""Int32""]","[""Float32""]",
191,f64_reinterpreti64,f64.reinterpret/i64,reinterpret_i64_f64,,,"[""Int64""]","[""Float64""]",
